model,return_pct,final_capital,trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe,avg_pnl,exposure_pct,hold,sl_mult,tp_mult
score,0.3795245018005211,10037.952450180052,2,50.0,1.3807454102721364,0.9832605819614537,0.780451859433976,18.97622509002605,30.0,8,1.5,2.2
score,0.3795245018005211,10037.952450180052,2,50.0,1.3807454102721364,0.9832605819614537,0.780451859433976,18.97622509002605,30.0,8,1.8,2.8
score,0.3795245018005211,10037.952450180052,2,50.0,1.3807454102721364,0.9832605819614537,0.780451859433976,18.97622509002605,30.0,12,1.5,2.2
score,0.3795245018005211,10037.952450180052,2,50.0,1.3807454102721364,0.9832605819614537,0.780451859433976,18.97622509002605,30.0,12,1.8,2.8
score,0.3795245018005211,10037.952450180052,2,50.0,1.3807454102721364,0.9832605819614537,0.780451859433976,18.97622509002605,30.0,20,1.5,2.2
score,0.3795245018005211,10037.952450180052,2,50.0,1.3807454102721364,0.9832605819614537,0.780451859433976,18.97622509002605,30.0,20,1.8,2.8
momentum_simple,0.19555649948113096,10019.555649948114,6,33.33333333333333,1.1044415866324566,1.5269022747590122,0.31118638730892684,3.2592749913525467,87.5,12,1.2,1.8
momentum_simple,0.19555649948113096,10019.555649948114,6,33.33333333333333,1.1044415866324566,1.5269022747590122,0.31118638730892684,3.2592749913525467,87.5,20,1.2,1.8
momentum,0.15233438110349162,10015.233438110348,3,66.66666666666666,1.1779071992858454,1.0287514128843434,0.3243727681802179,5.077812703449716,62.5,12,1.5,2.2
momentum,0.15233438110349162,10015.233438110348,3,66.66666666666666,1.1779071992858454,1.0287514128843434,0.3243727681802179,5.077812703449716,62.5,12,1.8,2.8
breakout,-0.3227125244140705,9967.728747558593,1,0.0,0.0,0.3376494483947834,-3.2336533075750085,-32.27125244140705,15.0,5,1.5,2.2
breakout,-0.3227125244140705,9967.728747558593,1,0.0,0.0,0.3376494483947834,-3.2336533075750085,-32.27125244140705,15.0,5,1.8,2.8
momentum_simple,-0.32569592666630287,9967.43040733337,4,50.0,0.7559028010287779,1.5045039780084979,-0.5518297717481115,-8.142398166657298,87.5,12,1.5,2.2
momentum_simple,-0.32569592666630287,9967.43040733337,4,50.0,0.7559028010287779,1.5045039780084979,-0.5518297717481115,-8.142398166657298,87.5,12,1.8,2.8
breakout,-0.3376494483947834,9966.235055160521,1,0.0,0.0,0.3376494483947834,-3.3965310941478744,-33.76494483947834,12.5,5,1.2,1.8
breakout,-0.3376494483947834,9966.235055160521,1,0.0,0.0,0.3376494483947834,-3.3965310941478744,-33.76494483947834,12.5,8,1.2,1.8
breakout,-0.3376494483947834,9966.235055160521,1,0.0,0.0,0.3376494483947834,-3.3965310941478744,-33.76494483947834,12.5,12,1.2,1.8
breakout,-0.3376494483947834,9966.235055160521,1,0.0,0.0,0.3376494483947834,-3.3965310941478744,-33.76494483947834,12.5,20,1.2,1.8
mr_trend_filter,-0.6855617599487385,9931.443824005126,1,0.0,0.0,0.6855617599487385,-2.572565763493847,-68.55617599487385,5.0,5,1.2,1.8
mr_trend_filter,-0.6855617599487385,9931.443824005126,1,0.0,0.0,0.6855617599487385,-2.572565763493847,-68.55617599487385,5.0,5,1.5,2.2
mr_trend_filter,-0.6855617599487385,9931.443824005126,1,0.0,0.0,0.6855617599487385,-2.572565763493847,-68.55617599487385,5.0,5,1.8,2.8
mr_trend_filter,-0.6855617599487385,9931.443824005126,1,0.0,0.0,0.6855617599487385,-2.572565763493847,-68.55617599487385,5.0,8,1.2,1.8
mr_trend_filter,-0.6855617599487385,9931.443824005126,1,0.0,0.0,0.6855617599487385,-2.572565763493847,-68.55617599487385,5.0,8,1.5,2.2
mr_trend_filter,-0.6855617599487385,9931.443824005126,1,0.0,0.0,0.6855617599487385,-2.572565763493847,-68.55617599487385,5.0,8,1.8,2.8
mr_trend_filter,-0.6855617599487385,9931.443824005126,1,0.0,0.0,0.6855617599487385,-2.572565763493847,-68.55617599487385,5.0,12,1.2,1.8
mr_trend_filter,-0.6855617599487385,9931.443824005126,1,0.0,0.0,0.6855617599487385,-2.572565763493847,-68.55617599487385,5.0,12,1.5,2.2
mr_trend_filter,-0.6855617599487385,9931.443824005126,1,0.0,0.0,0.6855617599487385,-2.572565763493847,-68.55617599487385,5.0,12,1.8,2.8
mr_trend_filter,-0.6855617599487385,9931.443824005126,1,0.0,0.0,0.6855617599487385,-2.572565763493847,-68.55617599487385,5.0,20,1.2,1.8
mr_trend_filter,-0.6855617599487385,9931.443824005126,1,0.0,0.0,0.6855617599487385,-2.572565763493847,-68.55617599487385,5.0,20,1.5,2.2
mr_trend_filter,-0.6855617599487385,9931.443824005126,1,0.0,0.0,0.6855617599487385,-2.572565763493847,-68.55617599487385,5.0,20,1.8,2.8
mr_soft_trend_filter,-0.8858961410522892,9911.410385894771,4,25.0,0.48678026184662365,1.3574343741230788,-1.574004007603003,-22.14740352630696,67.5,12,1.5,2.2
mr_soft_trend_filter,-0.8858961410522892,9911.410385894771,4,25.0,0.48678026184662365,1.3574343741230788,-1.574004007603003,-22.14740352630696,67.5,12,1.8,2.8
breakout,-0.9967933731079182,9900.320662689208,1,0.0,0.0,0.9967933731079182,-3.554524770655096,-99.67933731079182,17.5,8,1.5,2.2
breakout,-0.9967933731079182,9900.320662689208,1,0.0,0.0,0.9967933731079182,-3.554524770655096,-99.67933731079182,17.5,8,1.8,2.8
breakout,-0.9967933731079182,9900.320662689208,1,0.0,0.0,0.9967933731079182,-3.554524770655096,-99.67933731079182,17.5,12,1.5,2.2
breakout,-0.9967933731079182,9900.320662689208,1,0.0,0.0,0.9967933731079182,-3.554524770655096,-99.67933731079182,17.5,12,1.8,2.8
breakout,-0.9967933731079182,9900.320662689208,1,0.0,0.0,0.9967933731079182,-3.554524770655096,-99.67933731079182,17.5,20,1.5,2.2
breakout,-0.9967933731079182,9900.320662689208,1,0.0,0.0,0.9967933731079182,-3.554524770655096,-99.67933731079182,17.5,20,1.8,2.8
mr_soft_trend_filter,-2.1501583404541447,9784.984165954585,4,25.0,0.05774129278101481,2.499833027951659,-3.7656554236567534,-53.753958511353346,45.0,8,1.2,1.8
mr_soft_trend_filter,-2.1501583404541447,9784.984165954585,4,25.0,0.05774129278101481,2.499833027951659,-3.7656554236567534,-53.753958511353346,45.0,8,1.5,2.2
mr_soft_trend_filter,-2.1501583404541447,9784.984165954585,4,25.0,0.05774129278101481,2.499833027951659,-3.7656554236567534,-53.753958511353346,45.0,8,1.8,2.8
mr_soft_trend_filter,-2.669683288574254,9733.031671142575,3,0.0,0.0,3.0175014097166275,-4.568889052775715,-88.98944295247476,50.0,20,1.5,2.2
mr_soft_trend_filter,-2.669683288574254,9733.031671142575,3,0.0,0.0,3.0175014097166275,-4.568889052775715,-88.98944295247476,50.0,20,1.8,2.8
mr_soft_trend_filter,-2.7112168617248966,9728.87831382751,4,0.0,0.0,3.058886559129781,-4.647026682180484,-67.78042154312215,50.0,12,1.2,1.8
mr_soft_trend_filter,-2.7112168617248966,9728.87831382751,4,0.0,0.0,3.058886559129781,-4.647026682180484,-67.78042154312215,50.0,20,1.2,1.8
mr_soft_trend_filter,-2.8192811393738304,9718.071886062617,5,0.0,0.0,3.166564659940052,-4.859591514783165,-56.38562278747639,50.0,5,1.2,1.8
mr_soft_trend_filter,-2.8192811393738304,9718.071886062617,5,0.0,0.0,3.166564659940052,-4.859591514783165,-56.38562278747639,50.0,5,1.5,2.2
mr_soft_trend_filter,-2.8192811393738304,9718.071886062617,5,0.0,0.0,3.166564659940052,-4.859591514783165,-56.38562278747639,50.0,5,1.8,2.8
